Neighborhood,Latitude,Longitude
Benz Circle,16.497758471083717,80.65398692072834
Enikepadu,16.516200000000026,80.70292000000006
Ganguru,16.502560000000074,80.63977000000006
"Gollapudi, Vijayawada",16.53902217855483,80.59465104683946
Kesarapalle,16.521190000000047,80.77511000000004
Mogalrajapuram,16.49663172569585,80.64539383990157
"Nidamanuru, Krishna district",16.507790000000057,80.72021000000007
Nunna,16.56501000000003,80.67774000000009
"One Town, Vijayawada",15.453910000000064,74.98688000000004
Patamata,16.495750000000044,80.66159000000005
Penamaluru,16.47108000000003,80.72092000000004
Poranki,16.480680000000064,80.70790000000005
Prasadampadu,16.521650000000022,80.68870000000004
Ramavarappadu,16.525040000000047,80.68221000000005
Ramavarappadu Junction,16.523696770803298,80.67692443162882
Tadigadapa,16.47521000000006,80.69824000000006
